di_code,st_code,state23,dist23,A00_p10,A00_p50,A00_p90,A00_sum,A00_mean,A00_min,A00_max,A00_count
292,18,ASSAM,KARBI ANGLONG,-0.027128027681660477,0.05911572472126721,0.11909265667053484,479859.45343797404,0.052700983093627196,-0.1929104190695886,0.2679584775086506,9120022
293,18,ASSAM,KARIMGANJ,-0.02712802768166286,0.04822760476739687,0.1137408688965966,103340.60616731626,0.04645146578339681,-0.15378700499807765,0.2679584775086506,2229526
294,18,ASSAM,KOKRAJHAR,-0.059115724721264536,0.02460592079969246,0.11909265667052793,108146.85135716073,0.027935526971510027,-0.13588619761630144,0.2599000384467512,3879174
295,18,ASSAM,LAKHIMPUR,-0.1034063821607392,-0.035432525951555265,0.059115724721264876,-104766.09792372132,-0.02789007971757786,-0.1929104190695886,0.2679584775086506,3763908
706,18,ASSAM,MAJULI,-0.08882737408687476,-0.024605920799693787,0.02977316416762764,-39039.658553527326,-0.024561225302501946,-0.1929104190695886,0.2069357939254133,1595085
296,18,ASSAM,MARIGAON,-0.07111111111111926,9.07528694422452E-4,0.07535563244904636,4298.8122258874855,0.0022861621019978754,-0.16000000000000003,0.2364628988850442,1884753
297,18,ASSAM,NAGAON,-0.06698961937717321,0.006828074388768236,0.08421376393695645,26368.070052324725,0.008213936221676932,-0.16633602460592078,0.2519646289888504,3221993
298,18,ASSAM,NALBARI,-0.06698961937717252,0.010396001537870299,0.09842368319877283,17404.786626428606,0.01336915306006798,-0.14769703960015382,0.2519646289888504,1306375
300,18,ASSAM,SIBSAGAR,-0.08421376393696306,-0.027128027681662444,0.05536332179930753,-43677.59712279737,-0.021404102723132243,-0.17279507881584008,0.24415224913494812,2046198
301,18,ASSAM,SONITPUR,-0.07972318339098891,-0.008858131487889382,0.07972318339101277,-13508.04195647233,-0.0035972115287215144,-0.16000000000000003,0.2519646289888504,3761187
707,18,ASSAM,SOUTH SALMARA MANCACHAR,-0.024605920799691667,0.017777777777779155,0.07972318339100987,15849.699018803527,0.022793995491572544,-0.11909265667051133,0.2364628988850442,699403
302,18,ASSAM,TINSUKIA,-0.07535563244904737,0.008858131487889066,0.11909265667052395,74713.98986845161,0.015575602234129578,-0.186082276047674,0.2599000384467512,4805197
617,18,ASSAM,UDALGURI,-0.09842368319873872,-0.024605920799693627,0.07535563244904694,-47102.11286314101,-0.01871942458544984,-0.16633602460592078,0.22145328719723184,2524545
710,18,ASSAM,WEST KARBI ANGLONG,-0.015747789311802835,0.05536332179933123,0.10340638216073568,182810.77561525142,0.047978348507732395,-0.16000000000000003,0.2364628988850442,3818912
188,10,BIHAR,ARARIA,-0.059115724721267277,-0.0199307958477542,0.05536332179930787,-36386.84864631659,-0.010488592191868654,-0.14173010380622836,0.2364628988850442,3476505
611,10,BIHAR,ARWAL,-0.044844290657448084,-0.015747789311802787,0.044844290657438335,-4742.084977629458,-0.006029507890585251,-0.13016532103037293,0.22145328719723184,790200
189,10,BIHAR,AURANGABAD,-0.03844675124951466,-0.008858131487890414,0.04822760476739601,-2052.5970419172477,-5.05061240961513E-4,-0.14769703960015382,0.2364628988850442,4071463
190,10,BIHAR,BANKA,-0.05536332179930615,-0.012056901191848594,0.04484429065744247,-27950.446351292638,-0.007510888851975628,-0.16000000000000003,0.2364628988850442,3727975
191,10,BIHAR,BEGUSARAI,-0.008858131487890034,0.022206843521719876,0.08882737408688048,76462.86542120384,0.032153502052180274,-0.10340638216070744,0.2364628988850442,2385201
200,10,BIHAR,KAIMUR,-0.03844675124951477,9.090247170140546E-4,0.04484429065744437,12546.115179207307,0.0030241666507927604,-0.14769703960015382,0.24415224913494812,4155971
192,10,BIHAR,BHAGALPUR,-0.022206843521722117,0.024605920799686074,0.08421376393695676,96383.92914390648,0.030554810555858385,-0.10340638216070744,0.2519646289888504,3161985
193,10,BIHAR,BHOJPUR,-0.03254133025758388,-0.004498351537514444,0.05536332179930604,17731.040234739932,0.006003704682338847,-0.13016532103037293,0.24415224913494812,2959033
194,10,BIHAR,BUXAR,-0.027128027681664686,-9.318030806421263E-4,0.04484429065743874,13258.707195510757,0.006306956970456551,-0.13016532103037293,0.2364628988850442,2107650
195,10,BIHAR,DARBHANGA,-0.032541330257586605,-9.282655812447451E-4,0.05911572472126438,20541.572495881068,0.0065690853492133714,-0.11909265667051133,0.22145328719723184,3135810
196,10,BIHAR,GAYA,-0.04158400615146878,-0.006832014826101718,0.05536332179930494,14745.239094325621,0.0024161145264117796,-0.15378700499807765,0.2519646289888504,6114662
197,10,BIHAR,GOPALGANJ,-0.017777777777779245,0.029773164167633714,0.09842368319876717,89669.46353190215,0.035348412600360306,-0.1085121107266436,0.24415224913494812,2543564
199,10,BIHAR,JAHANABAD,-0.04158400615147328,-0.013840830449825864,0.06299115724721134,-616.7038099040919,-5.337507470721218E-4,-0.11374086889657825,0.2364628988850442,1159636
198,10,BIHAR,JAMUI,-0.06698961937717415,-0.013840830449825795,0.05911572472126512,-31967.035364030213,-0.008387154541564848,-0.16000000000000003,0.2364628988850442,3819342
201,10,BIHAR,KATIHAR,-0.04158400615146821,9.041882229977214E-4,0.06299115724721113,27122.244968459196,0.0072042893758430294,-0.14173010380622836,0.24415224913494812,3773694
202,10,BIHAR,KHAGARIA,-0.02460592079969283,0.01205690119184995,0.06698961937716898,32736.180321367472,0.017740247369791743,-0.11374086889657825,0.2288965782391388,1851170
203,10,BIHAR,KISHANGANJ,-0.07972318339101903,-0.035432525951559546,0.059115724721264,-51127.76662827396,-0.021294351548850787,-0.16000000000000003,0.24415224913494812,2408235
204,10,BIHAR,LAKHISARAI,-0.035432525951549936,0.006828389578492442,0.07111111111111819,18943.736135991912,0.0125874323072078,-0.13016532103037293,0.2288965782391388,1509373
205,10,BIHAR,MADHEPURA,-0.019930795847753355,0.013840830449825564,0.08421376393694825,54435.758593949366,0.024294804581130917,-0.12456747404844293,0.2364628988850442,2247230
206,10,BIHAR,MADHUBANI,-0.041584006151462946,-0.008858131487889434,0.05911572472126482,5133.387613996296,0.0011769219542493165,-0.13588619761630144,0.22145328719723184,4370352
207,10,BIHAR,MUNGER,-0.038446751249505716,0.02220684352172102,0.09356401384082695,43728.62267741166,0.02511387551422065,-0.13588619761630144,0.2364628988850442,1746408
208,10,BIHAR,MUZAFFARPUR,-0.02220684352172075,0.015747789311805562,0.10340638216072044,112018.25334429384,0.028353668322052133,-0.11909265667051133,0.24415224913494812,3958875
209,10,BIHAR,NALANDA,-0.03543252595155868,-0.010396001537867034,0.05173394848135043,3236.878334400567,0.001107828043254839,-0.12456747404844293,0.2364628988850442,2929383
210,10,BIHAR,NAWADA,-0.03844675124951106,-0.0044971061965226955,0.059115724721265014,12201.024635653375,0.003982433745367307,-0.13588619761630144,0.2364628988850442,3071041
211,10,BIHAR,PASHCHIMI CHAMPARAN,-0.04484429065745708,-0.010396001537866472,0.0984236831987479,45240.743942575165,0.006906111130282139,-0.14769703960015382,0.2519646289888504,6560379
212,10,BIHAR,PATNA,-0.03543252595156243,0.0026436378969035995,0.09356401384082391,72430.2738394368,0.01834550992138331,-0.13016532103037293,0.2599000384467512,3959090
