st_code,di_code,districts,state,mean_monthly_avg_rd_MD,mean_monthly_avg_rd_MN,prep_year,precip_sum_mm,precip_mean_mm,mean_tmax
8,91,bharatpur,rajasthan,1.376486317,1.348394604,2024,306.9735718,43.8533674,30.92106819
24,442,bharuch,gujarat,3.162996336,3.077179551,2024,384.7585449,54.96550642,31.83165786
24,443,bhavnagar,gujarat,1.186932911,1.169183719,2024,401.334137,40.1334137,31.80770713
8,92,bhilwara,rajasthan,1.153071331,1.131669518,2024,510.4088745,36.45777675,31.26582705
23,395,bhind,madhya pradesh,1.075736017,1.075143154,2024,277.8218689,46.30364482,31.16839803
6,59,bhiwani,haryana,1.328332893,1.34529034,2024,126.0577393,25.21154785,31.34116155
10,193,bhojpur,bihar,1.955232289,1.901729538,2024,150.9510193,50.31700643,30.9597168
23,396,bhopal,madhya pradesh,3.408061814,3.271014276,2024,283.8720093,56.77440186,30.44686127
27,470,bid,maharashtra,1.087840375,0.976228514,2024,776.324707,51.75498047,31.40644994
29,529,bidar,karnataka,1.117776492,1.002318104,2024,513.7327271,57.08141412,30.93173397
22,636,bijapur,chhattisgarh,0.415143155,0.436659783,2024,911.3098755,75.94248962,31.67407227
9,132,bijnor,uttar pradesh,1.441050446,1.435597218,2024,208.1777649,41.63555298,28.79090433
8,93,bikaner,rajasthan,0.747370764,0.74115452,2024,528.8050537,12.01829668,33.87296677
22,375,bilaspur,himachal pradesh,1.209235287,1.231441846,2024,434.1503906,72.35839844,31.37567139
2,15,bilaspur,chhattisgarh,2.161108589,2.113873713,2024,81.58862305,40.79431152,25.55572255
19,307,birbhum,west bengal,1.417969618,1.402685509,2024,597.8061523,74.72576904,30.72574391
14,252,bishnupur,manipur,1.121078312,1.068013853,2024,66.93112183,66.93112183,25.91211955
18,705,biswanath,assam,0.685058303,0.685269057,2024,214.7206116,107.3603058,27.65847168
20,322,bokaro,jharkhand,2.481880288,2.501450263,2024,245.9416656,61.48541641,30.00565084
21,345,bolangir (balangir),odisha,0.863194985,0.86035944,2024,593.4401855,65.93779839,31.69950562
18,281,bongaigaon,assam,0.908045314,0.873992486,2024,195.2786255,195.2786255,29.12459755
24,676,botad,gujarat,0.970569701,0.931687169,2024,151.4881897,50.49606323,33.77631293
9,133,budaun,uttar pradesh,1.153957819,1.152965953,2024,314.947113,52.49118551,29.97086589
9,134,bulandshahr,uttar pradesh,2.248626219,2.198385466,2024,252.4562073,42.07603455,29.99511283
27,472,buldhana,maharashtra,0.914510679,0.76793532,2024,1000.201538,66.68010254,31.27662072
8,94,bundi,rajasthan,1.005024985,0.99149824,2024,379.2333374,47.40416718,31.78129747
23,397,burhanpur,madhya pradesh,0.668257919,0.600167186,2024,415.9156494,69.3192749,31.18572998
10,194,buxar,bihar,1.696610267,1.642031876,2024,112.9094391,56.45471954,31.02227444
18,282,cachar,assam,0.684295968,0.67035812,2024,745.0614014,124.1769002,28.52751414
7,77,central,delhi,37.12178848,36.90713497,2024,42.06635284,42.06635284,30.23858261
29,531,chamarajanagar,karnataka,0.76129443,0.730030977,2024,354.6252441,50.66074916,29.14163886
2,16,chamba,himachal pradesh,0.51443007,0.524961369,2024,710.9816284,64.63469349,11.1911714
5,47,chamoli,uttarakhand,0.55119055,0.550482125,2024,862.9196777,66.37843675,8.151404245
5,48,champawat,uttarakhand,0.65944577,0.702153589,2024,257.9552612,128.9776306,24.46282768
15,262,champhai,mizoram,0.412468948,0.391658402,2024,267.6916504,66.9229126,25.47941589
9,135,chandauli,uttar pradesh,1.918718668,1.821194192,2024,199.8178864,49.95447159,30.77414551
14,253,chandel,manipur,0.407384325,0.39494518,2024,161.1210022,80.5605011,26.76350911
4,44,chandigarh,chandigarh,27.31540406,26.65334287,2024,26.9352169,26.9352169,29.07269669
27,473,chandrapur,maharashtra,0.953028878,0.874412129,2024,788.7856445,56.34183175,32.45122477
12,229,changlang,arunachal pradesh,0.397399345,0.412850112,2024,1081.605957,135.2007446,21.74996803
18,708,charaideo,assam,0.905087291,0.891121452,2024,111.398201,111.398201,27.97237651
6,701,charkhi dadri,haryana,1.439136332,1.455753285,2024,56.63848495,28.31924248,30.87681362
20,323,chatra,jharkhand,0.811291167,0.832127331,2024,334.1708069,55.69513448,29.81431144
33,730,chengalpattu,tamil nadu,4.360047912,4.080393389,2024,172.1504974,57.38349915,31.37676392
33,568,chennai,tamil nadu,31.93663172,28.10185962,2024,52.28649902,52.28649902,31.25537872
23,398,chhatarpur,madhya pradesh,0.941181678,0.919782508,2024,679.2016602,56.60013835,31.04717807
23,399,chhindwara,madhya pradesh,0.669025115,0.620755968,2024,1171.862915,73.24143219,29.75309175
24,668,chhota udepur,gujarat,0.752872957,0.726233395,2024,385.9697266,64.32828776,31.41184489
29,630,chik ballapur,karnataka,1.536345811,1.504581245,2024,249.8161621,49.96323242,30.11394043
29,532,chikkamagaluru,karnataka,0.693668155,0.639737016,2024,959.2822876,95.92822876,28.02375874
18,612,chirang,assam,0.802603542,0.806663399,2024,640.3096313,160.0774078,26.91239014
29,533,chitradurga,karnataka,1.112268531,1.055693895,2024,501.6455383,45.60413985,30.37498673
9,136,chitrakoot,uttar pradesh,0.969264847,0.938503482,2024,228.1401062,45.62802124,31.38484331
8,95,chittaurgarh,rajasthan,1.31087901,1.299430902,2024,487.4398193,40.61998494,30.9168457
28,503,chittoor,andhra pradesh,1.129238852,1.101052205,2024,1021.507263,48.64320301,31.65500113
14,254,churachandpur,manipur,0.466814882,0.461319459,2024,296.6528015,74.16320038,26.11309306
8,96,churu,rajasthan,0.748428514,0.741141383,2024,406.0756531,18.45798423,32.69455698
33,569,coimbatore,tamil nadu,2.526241181,2.258008988,2024,471.6708069,78.61180115,29.48897934
33,570,cuddalore,tamil nadu,1.776466192,1.685723424,2024,442.894104,63.27058629,32.00270589
21,350,cuttack,odisha,1.953354828,1.957429107,2024,472.3370056,67.47671509,31.33210306
38,465,dadra & nagar haveli,dadra & nagar haveli & daman & diu,3.758312837,3.522084641,2024,63.89773178,63.89773178,30.83522606
24,445,dahod,gujarat,0.961547389,0.956618009,2024,291.9152832,58.38305664,31.22126887
22,376,dakshin bastar dantewada,chhattisgarh,0.836830519,0.824507887,2024,350.5391846,87.63479614,30.57696533
19,310,dakshin dinajpur,west bengal,1.274537849,1.257363674,2024,211.1621094,70.38736979,29.86348397
29,534,dakshina kannada,karnataka,1.220644746,1.183177427,2024,1054.640991,150.6629987,28.63879967
38,463,daman,dadra & nagar haveli & daman & diu,11.06758565,10.57805551,2024,71.44821167,71.44821167,29.6994381
23,400,damoh,madhya pradesh,0.752256364,0.75732449,2024,634.0239868,63.40239868,30.7116612
24,444,dangs,gujarat,0.50163079,0.470369708,2024,211.9771423,70.65904744,29.82314682
10,195,darbhanga,bihar,2.017737006,1.949091854,2024,209.7098083,52.42745209,30.55991211
19,309,darjiling,west bengal,1.465022438,1.417586699,2024,414.0674438,138.0224813,25.20995941
18,283,darrang,assam,0.847498284,0.811377836,2024,254.2756805,127.1378403,29.08271281
23,401,datia,madhya pradesh,1.058904452,1.053780996,2024,193.0433655,48.26084137,31.26093674
8,97,dausa,rajasthan,1.818699737,1.758775702,2024,240.8367157,40.13945262,30.95761343
29,535,davangere,karnataka,1.16321604,1.086845909,2024,425.7143555,60.8163365,29.88362523
5,49,dehradun,uttarakhand,2.620528017,2.613515984,2024,297.261261,74.31531525,23.78219839
21,351,deogarh,odisha,0.578367906,0.5898089,2024,299.1531982,99.71773275,30.57475281
20,324,deoghar,jharkhand,1.587326875,1.604958926,2024,167.8140411,55.93801371,30.15462646
9,137,deoria,uttar pradesh,1.905863004,1.869357057,2024,111.5013123,55.75065613,30.91856523
24,674,devbhumi dwarka,gujarat,1.313480762,1.257265952,2024,462.5260925,66.07515608,29.80948953
23,402,dewas,madhya pradesh,1.050329116,1.027465106,2024,620.7253418,62.07253418,30.74592452
16,269,dhalai,tripura,0.597852395,0.5739164,2024,160.4610291,80.23051453,29.52000427
22,377,dhamtari,chhattisgarh,0.834222589,0.825628707,2024,388.2091064,64.70151774,30.99556841
20,325,dhanbad,jharkhand,3.575611583,3.543646299,2024,187.1972046,62.3990682,30.35313606
23,403,dhar,madhya pradesh,1.174673683,1.127110294,2024,691.0825806,62.82568914,30.93609064
33,571,dharmapuri,tamil nadu,1.193244279,1.100240917,2024,384.2540588,54.89343698,31.0517924
29,536,dharwad,karnataka,1.594876896,1.494878538,2024,228.4308624,57.10771561,29.9315918
8,98,dhaulpur,rajasthan,0.975547393,0.966409753,2024,280.6402588,56.12805176,30.91338457
18,284,dhemaji,assam,0.577073913,0.555336299,2024,469.9974976,117.4993744,27.20046125
21,352,dhenkanal,odisha,1.325351545,1.379655898,2024,341.7942505,68.3588501,31.15909627
18,285,dhubri,assam,0.895497836,0.85524636,2024,496.4952393,165.4984131,29.24119059
27,474,dhule,maharashtra,0.974194545,0.917997002,2024,558.1013184,62.0112576,31.05730936
12,230,dibang valley,arunachal pradesh,0.323143346,0.306153259,2024,2331.987061,166.5705043,10.53312029
18,286,dibrugarh,assam,1.672246331,1.819174218,2024,461.681427,115.4203568,27.77883693
18,299,dima hasao,assam,0.460207222,0.468194702,2024,628.2034912,89.74335589,27.15819415
13,244,dimapur,nagaland,1.63031849,1.749687646,2024,101.4050522,101.4050522,26.64300791
33,572,dindigul,tamil nadu,1.213531347,1.164109957,2024,568.4194946,71.05243683,31.14541626
23,404,dindori,madhya pradesh,0.619436413,0.613730494,2024,414.0351257,69.00585429,29.20773994
38,464,diu,dadra & nagar haveli & daman & diu,5.083677891,4.840895724,2024,39.88515091,39.88515091,29.31116486
1,4,doda,jammu & kashmir,0.615561536,0.622496571,2024,319.628479,79.90711975,14.68904583
20,326,dumka,jharkhand,0.859886683,0.856946061,2024,312.9015503,62.58031006,30.30718486
8,99,dungarpur,rajasthan,0.94258073,0.893972021,2024,193.7041168,38.74082336,31.55619303
22,378,durg,chhattisgarh,3.550229901,3.497566256,2024,298.5475464,74.6368866,31.5789299
7,78,east,sikkim,0.781891036,0.706031831,2024,42.50848389,42.50848389,30.23858261
11,225,east,delhi,47.31769944,46.44982105,2024,371.2247314,185.6123657,15.60231323
17,273,east garo hills,meghalaya,0.620339379,0.621467191,2024,264.8947144,132.4473572,27.24442618
28,505,east godavari,andhra pradesh,1.044695843,1.016929889,2024,1408.809937,74.1478914,30.95850594
17,657,east jaintia hills,meghalaya,0.655070577,0.633244498,2024,486.0183716,162.0061239,26.16332838
12,231,east kameng,arunachal pradesh,0.372831182,0.363622043,2024,1932.38623,276.0551758,14.27894374
17,274,east khasi hills,meghalaya,0.900712606,0.909621344,2024,849.180481,212.2951202,24.60863749
23,405,east nimar,madhya pradesh,0.714320343,0.672381364,2024,624.8707886,62.48707886,31.23908267
12,232,east siang,arunachal pradesh,0.497159507,0.48105635,2024,410.7947693,136.9315898,26.00037956
20,327,east singhbhum,jharkhand,2.031230961,2.065041444,2024,333.5374756,66.70749512,30.78453416
32,555,ernakulam,kerala,2.748370623,2.31351393,2024,758.7023315,151.7404663,28.86429665
33,573,erode,tamil nadu,1.419684583,1.339797633,2024,466.0216064,58.25270081,30.81828817
9,138,etah,uttar pradesh,1.431440011,1.407194711,2024,216.5084839,43.30169678,30.53039042
9,139,etawah,uttar pradesh,1.724879968,1.705576674,2024,127.7123795,42.57079315,30.80381775
6,60,faridabad,haryana,10.56759807,10.66102715,2024,44.99520111,44.99520111,30.49456978
3,29,faridkot,punjab,1.792516948,1.769213224,2024,76.90367126,25.63455709,30.54084996
9,141,farrukhabad,uttar pradesh,1.42155315,1.404638219,2024,82.16404724,41.08202362,30.40332336
