system:index,GEOID,GFD_sum,GeoName,Shape_Area,Shape_Leng,di_code,dist23,st_code,st_di23,state23,.geo
000000000000000002bf,x18281,104207.37254901975,"ASSAM, BONGAIGAON",9.38074332777E8,278101.508465,281,BONGAIGAON,18,"ASSAM, BONGAIGAON",ASSAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c0,x18282,115845.2784313726,"ASSAM, CACHAR",3.63866662669E9,433439.258272,282,CACHAR,18,"ASSAM, CACHAR",ASSAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c1,x18708,2043.8666666666666,"ASSAM, CHARAIDEO",1.03607451295E9,224632.571325,708,CHARAIDEO,18,"ASSAM, CHARAIDEO",ASSAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c2,x18612,1811.278431372549,"ASSAM, CHIRANG",1.96299624816E9,310549.778464,612,CHIRANG,18,"ASSAM, CHIRANG",ASSAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c3,x18283,269759.4627450982,"ASSAM, DARRANG",1.30952255697E9,331697.061676,283,DARRANG,18,"ASSAM, DARRANG",ASSAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c4,x18284,81736.81960784314,"ASSAM, DHEMAJI",2.38101711525E9,401430.529966,284,DHEMAJI,18,"ASSAM, DHEMAJI",ASSAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c5,x18285,303538.74509803846,"ASSAM, DHUBRI",1.51411132826E9,484020.123035,285,DHUBRI,18,"ASSAM, DHUBRI",ASSAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c6,x18286,210586.62745098042,"ASSAM, DIBRUGARH",3.27583302017E9,441649.091418,286,DIBRUGARH,18,"ASSAM, DIBRUGARH",ASSAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c7,x18299,7421.490196078433,"ASSAM, DIMA HASAO",4.6982305441E9,499690.772337,299,DIMA HASAO,18,"ASSAM, DIMA HASAO",ASSAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c8,x18287,233181.7882352941,"ASSAM, GOALPARA",1.8470116062E9,330027.809523,287,GOALPARA,18,"ASSAM, GOALPARA",ASSAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c9,x18288,142413.0078431374,"ASSAM, GOLAGHAT",3.38909912073E9,611752.908683,288,GOLAGHAT,18,"ASSAM, GOLAGHAT",ASSAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002ca,x18289,20064.058823529413,"ASSAM, HAILAKANDI",1.27817157175E9,262606.792407,289,HAILAKANDI,18,"ASSAM, HAILAKANDI",ASSAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002cb,x18709,26161.98039215685,"ASSAM, HOJAI",1.40107975405E9,252272.500632,709,HOJAI,18,"ASSAM, HOJAI",ASSAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002cc,x18290,27297.662745098056,"ASSAM, JORHAT",1.97628624187E9,348007.022778,290,JORHAT,18,"ASSAM, JORHAT",ASSAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002cd,x18618,40948.07843137254,"ASSAM, KAMRUP METRO",9.24998183289E8,217860.150882,618,KAMRUP METRO,18,"ASSAM, KAMRUP METRO",ASSAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002ce,x18291,253545.39607843134,"ASSAM, KAMRUP RURAL",3.00207395767E9,533767.454399,291,KAMRUP RURAL,18,"ASSAM, KAMRUP RURAL",ASSAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002cf,x18292,8037.666666666668,"ASSAM, KARBI ANGLONG",7.05276147084E9,793115.495346,292,KARBI ANGLONG,18,"ASSAM, KARBI ANGLONG",ASSAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d0,x18293,72251.03529411764,"ASSAM, KARIMGANJ",1.7436127772E9,253526.555935,293,KARIMGANJ,18,"ASSAM, KARIMGANJ",ASSAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d1,x18294,16149.78431372548,"ASSAM, KOKRAJHAR",3.005469475E9,370102.899458,294,KOKRAJHAR,18,"ASSAM, KOKRAJHAR",ASSAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d2,x18295,131188.84705882354,"ASSAM, LAKHIMPUR",2.88880662655E9,372367.885033,295,LAKHIMPUR,18,"ASSAM, LAKHIMPUR",ASSAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d3,x18706,230516.58823529392,"ASSAM, MAJULI",7.60410814687E8,187633.777041,706,MAJULI,18,"ASSAM, MAJULI",ASSAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
