di_code,dist23,st_code,state23,pred_per_diff,FlowAcc_sum,GFD_sum,mean_monthly_avg_rd_MD,mean_monthly_avg_rd_MN,precip_sum_mm,precip_mean_mm,mean_tmax,highersecondaryabove_district,vulnerability_district,anger,positive,anticipation,joy,surprise,trust,fear,negative,disgust,sadness,emotion_total,Tone_Avg,Tone_Positive,Tone_Negative,Tone_Polarity,Tone_ActivityRef,Tone_SelfGroupRef,anger_share,fear_share,sadness_share,joy_share,disgust_share,surprise_share,anticipation_share,trust_share,anger_intensity,fear_intensity,sadness_intensity,joy_intensity,disgust_intensity,surprise_intensity,anticipation_intensity,trust_intensity,flood_news_count
18,KANGRA,2,HIMACHAL PRADESH,20.1639409526606,15744372.929411758,21291.80784313726,0.788301113,0.798773403,504.7861633,63.09827042,20.99251258,0.925408307651489,0.6934936837374791,20.0,54.0,37.0,13.0,28.0,18.0,66.0,72.0,11.0,37.0,230.0,-4.097250584,0.813597254,4.910847838142857,5.724445092142857,19.553467492857145,0.0793675289999999,0.0782019084285714,0.2752544731428571,0.151406901,0.0626947147142857,0.0419501841428571,0.1363027077142857,0.1734200151428571,0.0807690951428571,0.0084440134285714,0.0280268348571428,0.0153465272857142,0.0058150374285714,0.0045049794285714,0.013749278,0.0169566254285714,0.0077531422857142,7.0
21,LAHUL & SPITI,2,HIMACHAL PRADESH,27.7886955146599,13600466.07450982,11307.807843137254,0.463476375,0.460467842,603.3314209,33.51841227,0.338723696,0.8958156645449501,0.1372923690893596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,KULLU,2,HIMACHAL PRADESH,16.6041654801215,16619689.403921574,864.3098039215686,0.548684367,0.556066146,613.8300781,68.20334201,8.594989353,0.2313295719902352,0.9054121874251952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,MANDI,2,HIMACHAL PRADESH,-2.90936684173156,33062923.560784295,98.65882352941176,0.698077276,0.728486462,335.7008667,67.14017334,21.1890346,0.7573888172437152,0.651412905009311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,HAMIRPUR,2,HIMACHAL PRADESH,9.45387065396681,2128729.023529411,40.47058823529411,0.843033678,0.875116391,107.2720413,53.63602066,24.6526947,1.3095591597847351,0.0646430558312876,20.0,50.0,21.0,8.0,13.0,22.0,25.0,34.0,4.0,21.0,134.0,-5.16568867175,0.8044678715,5.970156543250001,6.7746244145,19.666298769999997,0.20833333325,0.1684139785,0.21653225825,0.18319892475,0.04502688175,0.0411290324999999,0.11088709675,0.13924731175,0.09556451625,0.0224011964999999,0.027017525,0.0243796215,0.00501682125,0.0053029805,0.01347770725,0.0156285115,0.010405945,4.0
26,UNA,2,HIMACHAL PRADESH,15.4297162699296,3462470.466666666,3317.0,1.216949593,1.2570741,109.6777649,54.83888245,27.99186925,0.7084019360399013,-0.8161955988788456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,BILASPUR,2,HIMACHAL PRADESH,12.1559459372536,41735699.227451056,3912.0392156862745,2.161108589,2.113873713,81.58862305,40.79431152,25.55572255,1.060642973189237,-0.8161955988788456,8.0,62.0,31.0,26.0,14.0,30.0,30.0,29.0,2.0,22.0,163.0,-0.476152299,3.542750473,4.01890277225,7.56165324525,17.588664275,0.0,0.0486024845,0.18571816775,0.1354425464999999,0.158090062,0.01257763975,0.081884705,0.1888800465,0.18880434775,0.0050967027499999,0.021689248,0.01981592175,0.02971615575,0.0012603045,0.01497587025,0.03106362425,0.03157613025,4.0
25,SOLAN,2,HIMACHAL PRADESH,16.9637759393227,4711223.192156866,21.490196078431374,1.848830246,1.870513172,104.9963455,34.99878184,25.90689697,0.850497347256043,-0.8161955988788456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,SIRMAUR,2,HIMACHAL PRADESH,19.5197837005965,5076540.66666667,237.4941176470588,0.822665436,0.846761035,327.3011475,65.46022949,24.13712616,0.0481088461084837,-0.8161955988788456,51.0,153.0,101.0,36.0,46.0,67.0,143.0,156.0,29.0,81.0,554.0,-5.3211960751875,0.5928753013125,5.9140713765,6.506946677625,18.2038277875,0.0662309885,0.0810707404375,0.25461968875,0.2019898015625,0.0579668460625,0.0478645236875,0.0846360148125,0.1771980665625,0.0946543180624999,0.0110819258125,0.031459333625,0.0179718553125,0.007035169375,0.0067753676875,0.01004662625,0.0202685948125,0.0117656896249999,16.0
23,SHIMLA,2,HIMACHAL PRADESH,0.724741068688992,31941738.20784317,547.0745098039216,0.6170157,0.640590377,495.1152344,55.01280382,15.92893982,1.4901029105900525,-0.43454682446604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,KINNAUR,2,HIMACHAL PRADESH,9.88312342579879,65386202.31372549,2630.7254901960787,0.486101519,0.48193485,397.3496094,39.73496094,2.768824929,0.3447815000907948,0.705327754261907,17.0,52.0,46.0,12.0,27.0,24.0,63.0,58.0,6.0,45.0,240.0,-4.793850374,0.6531031325,5.4469535066,6.1000566391,18.341927228,0.0569800569999999,0.0699318991,0.269368759,0.1828915228,0.0480118237,0.0215291549,0.1235165315,0.1903563195,0.0943939896999999,0.006160266,0.0236521815,0.0166239189,0.0043239127,0.0020194761,0.0104471447999999,0.0157829999,0.007866526,10.0
32,GURDASPUR,3,PUNJAB,17.604470567421,7039642.298039211,1273.909803921568,1.835153618,1.811960865,238.853775,47.770755,29.29187927,0.7002832417807805,-0.8161955988788456,12.0,52.0,17.0,19.0,10.0,30.0,18.0,27.0,9.0,14.0,129.0,-2.047000178,1.9494392025,3.9964393805,5.945878583,21.510770875,0.9015488695,0.0785189075,0.130252101,0.1123949579999999,0.1596638655,0.0900735295,0.094537815,0.125787815,0.2087710085,0.0073896705,0.0118265845,0.009858081,0.0138028694999999,0.007397451,0.007889577,0.011334459,0.0192162555,2.0
662,PATHANKOT,3,PUNJAB,17.604470567421,3073644.007843137,3102.498039215686,2.481079027,2.468531881,51.9276886,51.9276886,27.43222809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,KAPURTHALA,3,PUNJAB,30.2471293879716,11259124.87843138,15606.105882352937,2.230276214,2.202991767,107.6381073,35.8793691,29.62249756,0.5690256091491916,-0.8161955988788456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,JALANDHAR,3,PUNJAB,29.7555376959754,37231531.20000001,3870.5411764705873,3.252545916,3.164245553,64.49984741,32.24992371,29.71549733,1.091514214546988,-0.8161955988788456,36.0,115.0,50.0,26.0,20.0,74.0,51.0,86.0,26.0,45.0,328.0,-3.956375157125001,1.93559003075,5.891965188125,7.827555217875,21.9324366175,0.444011630875,0.120839940375,0.152685261875,0.133269079125,0.07675446975,0.076915992875,0.055290874875,0.173435323875,0.210809057,0.012553495625,0.016165813125,0.014698375625,0.007842278875,0.0080581026249999,0.005732745875,0.015355839375,0.021949561375,8.0
33,HOSHIARPUR,3,PUNJAB,28.8968371364368,8505621.376470592,2111.8196078431374,1.446143231,1.441480532,255.7270508,42.62117513,28.9764639,0.698612029962546,-0.8161955988788456,9.0,44.0,14.0,10.0,14.0,36.0,44.0,40.0,2.0,28.0,157.0,-3.1124771108,1.6695756272,4.7820527384,6.4516283655999995,19.619077536,0.0,0.037100737,0.2878833377999999,0.1526799528,0.0725862224,0.0054054053999999,0.104245154,0.0960232962,0.2440758942,0.0040089274,0.0357060638,0.0185949262,0.0099871118,0.0005174644,0.0132329978,0.0103738012,0.0296564315999999,5.0
40,SHAHID BHAGAT SINGH NAGAR,3,PUNJAB,26.756847983748,29028273.56470588,1839.6901960784312,2.0321927,2.00107465,28.89740944,28.89740944,29.47791835,0.1639651052173157,-0.8161955988788456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,FATEHGARH SAHIB,3,PUNJAB,-3.94789666694722,476151.43921568576,2612.3568627450973,2.717867271,2.673513449,28.32686615,28.32686615,29.71260643,0.4020721897542355,-0.8161955988788456,17.0,81.0,19.0,15.0,5.0,37.0,24.0,45.0,8.0,25.0,150.0,-3.3868679500000005,1.575405925,4.962273874666667,6.5376798,19.264326086666667,0.0,0.130078196,0.165884706,0.1374613566666666,0.0700309143333333,0.0713220586666666,0.0177304963333333,0.147426805,0.2600654663333333,0.0094161246666666,0.0133542203333333,0.0112242236666666,0.0059168736666666,0.0066457926666666,0.001444252,0.0144901616666666,0.023692433,3.0
