"state23","st_code","dist23","di_code","st_di23","GeoName","GEOID"
"ODISHA","21","JAGATSINGHPUR","355","ODISHA, JAGATSINGHPUR","ODISHA, JAGATSINGHPUR","x21355"
"RAJASTHAN","08","JAIPUR","102","RAJASTHAN, JAIPUR","RAJASTHAN, JAIPUR","x08102"
"RAJASTHAN","08","JAISALMER","103","RAJASTHAN, JAISALMER","RAJASTHAN, JAISALMER","x08103"
"ODISHA","21","JAJAPUR","356","ODISHA, JAJAPUR","ODISHA, JAJAPUR","x21356"
"UTTAR PRADESH","09","JALAUN","151","UTTAR PRADESH, JALAUN","UTTAR PRADESH, JALAUN","x09151"
"RAJASTHAN","08","JALOR","104","RAJASTHAN, JALOR","RAJASTHAN, JALOR","x08104"
"JHARKHAND","20","JAMTARA","333","JHARKHAND, JAMTARA","JHARKHAND, JAMTARA","x20333"
"CHHATTISGARH","22","JANJGIR - CHAMPA","379","CHHATTISGARH, JANJGIR - CHAMPA","CHHATTISGARH, JANJGIR - CHAMPA","x22379"
"CHHATTISGARH","22","JASHPUR","380","CHHATTISGARH, JASHPUR","CHHATTISGARH, JASHPUR","x22380"
"UTTAR PRADESH","09","JAUNPUR","152","UTTAR PRADESH, JAUNPUR","UTTAR PRADESH, JAUNPUR","x09152"
"MADHYA PRADESH","23","JHABUA","412","MADHYA PRADESH, JHABUA","MADHYA PRADESH, JHABUA","x23412"
"RAJASTHAN","08","JHALAWAR","105","RAJASTHAN, JHALAWAR","RAJASTHAN, JHALAWAR","x08105"
"UTTAR PRADESH","09","JHANSI","153","UTTAR PRADESH, JHANSI","UTTAR PRADESH, JHANSI","x09153"
"ODISHA","21","JHARSUGUDA","357","ODISHA, JHARSUGUDA","ODISHA, JHARSUGUDA","x21357"
"RAJASTHAN","08","JHUNJHUNUN","106","RAJASTHAN, JHUNJHUNUN","RAJASTHAN, JHUNJHUNUN","x08106"
"RAJASTHAN","08","JODHPUR","107","RAJASTHAN, JODHPUR","RAJASTHAN, JODHPUR","x08107"
"GUJARAT","24","JUNAGADH","448","GUJARAT, JUNAGADH","GUJARAT, JUNAGADH","x24448"
"CHHATTISGARH","22","KABIRDHAM","382","CHHATTISGARH, KABIRDHAM","CHHATTISGARH, KABIRDHAM","x22382"
"KARNATAKA","29","KALABURAGI","538","KARNATAKA, KALABURAGI","KARNATAKA, KALABURAGI","x29538"
"ODISHA","21","KALAHANDI","358","ODISHA, KALAHANDI","ODISHA, KALAHANDI","x21358"
"ODISHA","21","KANDHAMAL","359","ODISHA, KANDHAMAL","ODISHA, KANDHAMAL","x21359"
"HIMACHAL PRADESH","02","KANGRA","018","HIMACHAL PRADESH, KANGRA","HIMACHAL PRADESH, KANGRA","x02018"
"CHHATTISGARH","22","UTTAR BASTAR KANKER","381","CHHATTISGARH, UTTAR BASTAR KANKER","CHHATTISGARH, UTTAR BASTAR KANKER","x22381"
"UTTAR PRADESH","09","KANNAUJ","155","UTTAR PRADESH, KANNAUJ","UTTAR PRADESH, KANNAUJ","x09155"
"KERALA","32","KANNUR","557","KERALA, KANNUR","KERALA, KANNUR","x32557"
"UTTAR PRADESH","09","KANPUR","157","UTTAR PRADESH, KANPUR","UTTAR PRADESH, KANPUR","x09157"
"UTTAR PRADESH","09","KANPUR DEHAT","156","UTTAR PRADESH, KANPUR DEHAT","UTTAR PRADESH, KANPUR DEHAT","x09156"
