"state23","st_code","dist23","di_code","st_di23","GeoName","GEOID"
"UTTAR PRADESH","09","SITAPUR","183","UTTAR PRADESH, SITAPUR","UTTAR PRADESH, SITAPUR","x09183"
"HIMACHAL PRADESH","02","SOLAN","025","HIMACHAL PRADESH, SOLAN","HIMACHAL PRADESH, SOLAN","x02025"
"UTTAR PRADESH","09","SONBHADRA","184","UTTAR PRADESH, SONBHADRA","UTTAR PRADESH, SONBHADRA","x09184"
"DELHI","07","SOUTH","083","DELHI, SOUTH","DELHI, SOUTH","x07083"
"SIKKIM","11","SOUTH","227","SIKKIM, SOUTH","SIKKIM, SOUTH","x11227"
"ANDAMAN & NICOBAR","35","SOUTH ANDAMAN","602","ANDAMAN & NICOBAR, SOUTH ANDAMAN","ANDAMAN & NICOBAR, SOUTH ANDAMAN","x35602"
"MEGHALAYA","17","SOUTH GARO HILLS","277","MEGHALAYA, SOUTH GARO HILLS","MEGHALAYA, SOUTH GARO HILLS","x17277"
"GOA","30","SOUTH GOA","552","GOA, SOUTH GOA","GOA, SOUTH GOA","x30552"
"TRIPURA","16","SOUTH TRIPURA","271","TRIPURA, SOUTH TRIPURA","TRIPURA, SOUTH TRIPURA","x16271"
"DELHI","07","SOUTH WEST","084","DELHI, SOUTH WEST","DELHI, SOUTH WEST","x07084"
"ANDHRA PRADESH","28","SRIKAKULAM","519","ANDHRA PRADESH, SRIKAKULAM","ANDHRA PRADESH, SRIKAKULAM","x28519"
"ODISHA","21","SUBARNAPUR","372","ODISHA, SUBARNAPUR","ODISHA, SUBARNAPUR","x21372"
"CHHATTISGARH","22","SUKMA","642","CHHATTISGARH, SUKMA","CHHATTISGARH, SUKMA","x22642"
"UTTAR PRADESH","09","SULTANPUR","185","UTTAR PRADESH, SULTANPUR","UTTAR PRADESH, SULTANPUR","x09185"
"ODISHA","21","SUNDARGARH","373","ODISHA, SUNDARGARH","ODISHA, SUNDARGARH","x21373"
"CHHATTISGARH","22","SURAJPUR","648","CHHATTISGARH, SURAJPUR","CHHATTISGARH, SURAJPUR","x22648"
"CHHATTISGARH","22","SURGUJA","389","CHHATTISGARH, SURGUJA","CHHATTISGARH, SURGUJA","x22389"
"GUJARAT","24","TAPI","641","GUJARAT, TAPI","GUJARAT, TAPI","x24641"
"UTTARAKHAND","05","TEHRI GARHWAL","055","UTTARAKHAND, TEHRI GARHWAL","UTTARAKHAND, TEHRI GARHWAL","x05055"
"KERALA","32","THIRUVANANTHAPURAM","565","KERALA, THIRUVANANTHAPURAM","KERALA, THIRUVANANTHAPURAM","x32565"
"KERALA","32","TRISSUR","566","KERALA, TRISSUR","KERALA, TRISSUR","x32566"
"MADHYA PRADESH","23","TIKAMGARH","434","MADHYA PRADESH, TIKAMGARH","MADHYA PRADESH, TIKAMGARH","x23434"
"RAJASTHAN","08","TONK","116","RAJASTHAN, TONK","RAJASTHAN, TONK","x08116"
"KARNATAKA","29","TUMAKURU","548","KARNATAKA, TUMAKURU","KARNATAKA, TUMAKURU","x29548"
"RAJASTHAN","08","UDAIPUR","117","RAJASTHAN, UDAIPUR","RAJASTHAN, UDAIPUR","x08117"
"UTTARAKHAND","05","UDHAM SINGH NAGAR","056","UTTARAKHAND, UDHAM SINGH NAGAR","UTTARAKHAND, UDHAM SINGH NAGAR","x05056"
"KARNATAKA","29","UDUPI","549","KARNATAKA, UDUPI","KARNATAKA, UDUPI","x29549"
"MADHYA PRADESH","23","UJJAIN","435","MADHYA PRADESH, UJJAIN","MADHYA PRADESH, UJJAIN","x23435"
"MADHYA PRADESH","23","UMARIA","436","MADHYA PRADESH, UMARIA","MADHYA PRADESH, UMARIA","x23436"
"HIMACHAL PRADESH","02","UNA","026","HIMACHAL PRADESH, UNA","HIMACHAL PRADESH, UNA","x02026"
"UTTAR PRADESH","09","UNNAO","186","UTTAR PRADESH, UNNAO","UTTAR PRADESH, UNNAO","x09186"
"TRIPURA","16","UNOKOTI","655","TRIPURA, UNOKOTI","TRIPURA, UNOKOTI","x16655"
"KARNATAKA","29","UTTARA KANNADA","550","KARNATAKA, UTTARA  KANNADA","KARNATAKA, UTTARA KANNADA","x29550"
"GUJARAT","24","VADODARA","461","GUJARAT, VADODARA","GUJARAT, VADODARA","x24461"
"UTTAR PRADESH","09","VARANASI","187","UTTAR PRADESH, VARANASI","UTTAR PRADESH, VARANASI","x09187"
"MADHYA PRADESH","23","VIDISHA","437","MADHYA PRADESH, VIDISHA","MADHYA PRADESH, VIDISHA","x23437"
"KARNATAKA","29","VIJAYAPURA","530","KARNATAKA, VIJAYAPURA","KARNATAKA, VIJAYAPURA","x29530"
"ANDHRA PRADESH","28","VISAKHAPATNAM","520","ANDHRA PRADESH, VISAKHAPATNAM","ANDHRA PRADESH, VISAKHAPATNAM","x28520"
"ANDHRA PRADESH","28","VIZIANAGARAM","521","ANDHRA PRADESH, VIZIANAGARAM","ANDHRA PRADESH, VIZIANAGARAM","x28521"
"KERALA","32","WAYANAD","567","KERALA, WAYANAD","KERALA, WAYANAD","x32567"
"SIKKIM","11","WEST","228","SIKKIM, WEST","SIKKIM, WEST","x11228"
"DELHI","07","WEST","085","DELHI, WEST","DELHI, WEST","x07085"
"MEGHALAYA","17","WEST GARO HILLS","278","MEGHALAYA, WEST GARO HILLS","MEGHALAYA, WEST GARO HILLS","x17278"
"ANDHRA PRADESH","28","WEST GODAVARI","523","ANDHRA PRADESH, WEST GODAVARI","ANDHRA PRADESH, WEST GODAVARI","x28523"
"MEGHALAYA","17","WEST KHASI HILLS","279","MEGHALAYA, WEST KHASI HILLS","MEGHALAYA, WEST KHASI HILLS","x17279"
"MADHYA PRADESH","23","WEST NIMAR","414","MADHYA PRADESH, WEST NIMAR","MADHYA PRADESH, WEST NIMAR","x23414"
"TRIPURA","16","WEST TRIPURA","272","TRIPURA, WEST TRIPURA","TRIPURA, WEST TRIPURA","x16272"
"KARNATAKA","29","YADGIR","635","KARNATAKA, YADGIR","KARNATAKA, YADGIR","x29635"
"PUDUCHERRY","34","YANAM","601","PUDUCHERRY, YANAM","PUDUCHERRY, YANAM","x34601"
"ODISHA","21","BAUDH (BAUDA)","349","ODISHA, BAUDH (BAUDA)","ODISHA, BAUDH (BAUDA)","x21349"
"MIZORAM","15","LAWNGTLAI","264","MIZORAM, LAWNGTLAI","MIZORAM, LAWNGTLAI","x15264"
"MIZORAM","15","SERCHHIP","268","MIZORAM, SERCHHIP","MIZORAM, SERCHHIP","x15268"
"MIZORAM","15","KOLASIB","263","MIZORAM, KOLASIB","MIZORAM, KOLASIB","x15263"
"MIZORAM","15","MAMIT","266","MIZORAM, MAMIT","MIZORAM, MAMIT","x15266"
"MIZORAM","15","LUNGLEI","265","MIZORAM, LUNGLEI","MIZORAM, LUNGLEI","x15265"
"JAMMU & KASHMIR","01","MIRPUR",NA,"JAMMU & KASHMIR, MIRPUR","JAMMU & KASHMIR, MIRPUR","x01NA"
"JAMMU & KASHMIR","01","MUZAFFARABAD",NA,"JAMMU & KASHMIR, MUZAFFARABAD","JAMMU & KASHMIR, MUZAFFARABAD","x01NA"
"JAMMU & KASHMIR","01","PUNCH","010","JAMMU & KASHMIR, PUNCH","JAMMU & KASHMIR, PUNCH","x01010"
"JAMMU & KASHMIR","01","ANANTNAG","001","JAMMU & KASHMIR, ANANTNAG","JAMMU & KASHMIR, ANANTNAG","x01001"
"JAMMU & KASHMIR","01","BARAMULA","003","JAMMU & KASHMIR, BARAMULA","JAMMU & KASHMIR, BARAMULA","x01003"
"JAMMU & KASHMIR","01","KATHUA","007","JAMMU & KASHMIR, KATHUA","JAMMU & KASHMIR, KATHUA","x01007"
"JAMMU & KASHMIR","01","UDHAMPUR","014","JAMMU & KASHMIR, UDHAMPUR","JAMMU & KASHMIR, UDHAMPUR","x01014"
"UTTAR PRADESH","09","PRAYAGRAJ","120","UTTAR PRADESH, PRAYAGRAJ","UTTAR PRADESH, PRAYAGRAJ","x09120"
"MEGHALAYA","17","RI-BHOI","276","MEGHALAYA, RI-BHOI","MEGHALAYA, RI-BHOI","x17276"
"DELHI","07","SOUTH EAST","670","DELHI, SOUTH EAST","DELHI, SOUTH EAST","x07670"
"MEGHALAYA","17","SOUTH WEST KHASI HILLS","658","MEGHALAYA, SOUTH WEST KHASI HILLS","MEGHALAYA, SOUTH WEST KHASI HILLS","x17658"
"MEGHALAYA","17","SOUTH WEST GARO HILLS","663","MEGHALAYA, SOUTH WEST GARO HILLS","MEGHALAYA, SOUTH WEST GARO HILLS","x17663"
"MEGHALAYA","17","NORTH GARO HILLS","656","MEGHALAYA, NORTH GARO HILLS","MEGHALAYA, NORTH GARO HILLS","x17656"
"MEGHALAYA","17","WEST JAINTIA HILLS","275","MEGHALAYA, WEST JAINTIA HILLS","MEGHALAYA, WEST JAINTIA HILLS","x17275"
"MIZORAM","15","AIZAWL","261","MIZORAM, AIZAWL","MIZORAM, AIZAWL","x15261"
"JAMMU & KASHMIR","01","BADGAM","002","JAMMU & KASHMIR, BADGAM","JAMMU & KASHMIR, BADGAM","x01002"
"JAMMU & KASHMIR","01","BANDIPURA","623","JAMMU & KASHMIR, BANDIPURA","JAMMU & KASHMIR, BANDIPURA","x01623"
"JAMMU & KASHMIR","01","GANDERBAL","626","JAMMU & KASHMIR, GANDERBAL","JAMMU & KASHMIR, GANDERBAL","x01626"
"JAMMU & KASHMIR","01","KULGAM","622","JAMMU & KASHMIR, KULGAM","JAMMU & KASHMIR, KULGAM","x01622"
"JAMMU & KASHMIR","01","KUPWARA","008","JAMMU & KASHMIR, KUPWARA","JAMMU & KASHMIR, KUPWARA","x01008"
"JAMMU & KASHMIR","01","PULWAMA","011","JAMMU & KASHMIR, PULWAMA","JAMMU & KASHMIR, PULWAMA","x01011"
"JAMMU & KASHMIR","01","RAJAURI","012","JAMMU & KASHMIR, RAJAURI","JAMMU & KASHMIR, RAJAURI","x01012"
"JAMMU & KASHMIR","01","RAMBAN","621","JAMMU & KASHMIR, RAMBAN","JAMMU & KASHMIR, RAMBAN","x01621"
"JAMMU & KASHMIR","01","RIASI","627","JAMMU & KASHMIR, RIASI","JAMMU & KASHMIR, RIASI","x01627"
"JAMMU & KASHMIR","01","SHUPIYAN","625","JAMMU & KASHMIR, SHUPIYAN","JAMMU & KASHMIR, SHUPIYAN","x01625"
"JAMMU & KASHMIR","01","SRINAGAR","013","JAMMU & KASHMIR, SRINAGAR","JAMMU & KASHMIR, SRINAGAR","x01013"
"LADAKH","37","LEH","009","LADAKH, LEH","LADAKH, LEH","x37009"
"LADAKH","37","KARGIL","006","LADAKH, KARGIL","LADAKH, KARGIL","x37006"
"JAMMU & KASHMIR","01","KISHTWAR","620","JAMMU & KASHMIR, KISHTWAR","JAMMU & KASHMIR, KISHTWAR","x01620"
"JAMMU & KASHMIR","01","DODA","004","JAMMU & KASHMIR, DODA","JAMMU & KASHMIR, DODA","x01004"
"JAMMU & KASHMIR","01","SAMBA","624","JAMMU & KASHMIR, SAMBA","JAMMU & KASHMIR, SAMBA","x01624"
"MANIPUR","14","IMPHAL EAST","255","MANIPUR, IMPHAL EAST","MANIPUR, IMPHAL EAST","x14255"
"MANIPUR","14","JIRIBAM","713","MANIPUR, JIRIBAM","MANIPUR, JIRIBAM","x14713"
"MADHYA PRADESH","23","NIVARI","722","MADHYA PRADESH, NIVARI","MADHYA PRADESH, NIVARI","x23722"
"GUJARAT","24","AMRELI","439","GUJARAT, AMRELI","GUJARAT, AMRELI","x24439"
"DADRA & NAGAR HAVELI & DAMAN & DIU","38","DIU","464","DADRA & NAGAR HAVELI & DAMAN & DIU, DIU","DADRA & NAGAR HAVELI & DAMAN & DIU, DIU","x38464"
"GUJARAT","24","PORBANDAR","456","GUJARAT, PORBANDAR","GUJARAT, PORBANDAR","x24456"
"GUJARAT","24","RAJKOT","457","GUJARAT, RAJKOT","GUJARAT, RAJKOT","x24457"
"GUJARAT","24","SURENDRANAGAR","460","GUJARAT, SURENDRANAGAR","GUJARAT, SURENDRANAGAR","x24460"
"GUJARAT","24","BOTAD","676","GUJARAT, BOTAD","GUJARAT, BOTAD","x24676"
"GUJARAT","24","KHEDA","450","GUJARAT, KHEDA","GUJARAT, KHEDA","x24450"
"GUJARAT","24","MAHESANA","451","GUJARAT, MAHESANA","GUJARAT, MAHESANA","x24451"
"GUJARAT","24","GANDHINAGAR","446","GUJARAT, GANDHINAGAR","GUJARAT, GANDHINAGAR","x24446"
"GUJARAT","24","PATAN","455","GUJARAT, PATAN","GUJARAT, PATAN","x24455"
"TELANGANA","36","ADILABAD","501","TELANGANA, ADILABAD","TELANGANA, ADILABAD","x36501"
"MAHARASHTRA","27","AHAMADNAGAR","466","MAHARASHTRA, AHAMADNAGAR","MAHARASHTRA, AHAMADNAGAR","x27466"
"MAHARASHTRA","27","AKOLA","467","MAHARASHTRA, AKOLA","MAHARASHTRA, AKOLA","x27467"
"WEST BENGAL","19","ALIPUR DUAR","664","WEST BENGAL, ALIPUR DUAR","WEST BENGAL, ALIPUR DUAR","x19664"
"MAHARASHTRA","27","AMARAVATI","468","MAHARASHTRA, AMARAVATI","MAHARASHTRA, AMARAVATI","x27468"
"HARYANA","06","AMBALA","058","HARYANA, AMBALA","HARYANA, AMBALA","x06058"
"PUNJAB","03","AMRITSAR","027","PUNJAB, AMRITSAR","PUNJAB, AMRITSAR","x03027"
"ARUNACHAL PRADESH","12","ANJAW","628","ARUNACHAL PRADESH, ANJAW","ARUNACHAL PRADESH, ANJAW","x12628"
"BIHAR","10","ARARIA","188","BIHAR, ARARIA","BIHAR, ARARIA","x10188"
"BIHAR","10","ARWAL","611","BIHAR, ARWAL","BIHAR, ARWAL","x10611"
"BIHAR","10","AURANGABAD","189","BIHAR, AURANGABAD","BIHAR, AURANGABAD","x10189"
"MAHARASHTRA","27","AURANGABAD","469","MAHARASHTRA, AURANGABAD","MAHARASHTRA, AURANGABAD","x27469"
"BIHAR","10","BANKA","190","BIHAR, BANKA","BIHAR, BANKA","x10190"
"WEST BENGAL","19","BANKURA","305","WEST BENGAL, BANKURA","WEST BENGAL, BANKURA","x19305"
"WEST BENGAL","19","PURBA BARDDHAMAN","306","WEST BENGAL, PURBA BARDDHAMAN","WEST BENGAL, PURBA BARDDHAMAN","x19306"
"PUNJAB","03","BARNALA","605","PUNJAB, BARNALA","PUNJAB, BARNALA","x03605"
"PUNJAB","03","BATHINDA","028","PUNJAB, BATHINDA","PUNJAB, BATHINDA","x03028"
"BIHAR","10","BEGUSARAI","191","BIHAR, BEGUSARAI","BIHAR, BEGUSARAI","x10191"
"BIHAR","10","KAIMUR","200","BIHAR, KAIMUR","BIHAR, KAIMUR","x10200"
"BIHAR","10","BHAGALPUR","192","BIHAR, BHAGALPUR","BIHAR, BHAGALPUR","x10192"
"MAHARASHTRA","27","BHANDARA","471","MAHARASHTRA, BHANDARA","MAHARASHTRA, BHANDARA","x27471"
"HARYANA","06","BHIWANI","059","HARYANA, BHIWANI","HARYANA, BHIWANI","x06059"
"BIHAR","10","BHOJPUR","193","BIHAR, BHOJPUR","BIHAR, BHOJPUR","x10193"
"MAHARASHTRA","27","BID","470","MAHARASHTRA, BID","MAHARASHTRA, BID","x27470"
"WEST BENGAL","19","BIRBHUM","307","WEST BENGAL, BIRBHUM","WEST BENGAL, BIRBHUM","x19307"
"MAHARASHTRA","27","BULDHANA","472","MAHARASHTRA, BULDHANA","MAHARASHTRA, BULDHANA","x27472"
"BIHAR","10","BUXAR","194","BIHAR, BUXAR","BIHAR, BUXAR","x10194"
"UTTARAKHAND","05","CHAMOLI","047","UTTARAKHAND, CHAMOLI","UTTARAKHAND, CHAMOLI","x05047"
"MAHARASHTRA","27","CHANDRAPUR","473","MAHARASHTRA, CHANDRAPUR","MAHARASHTRA, CHANDRAPUR","x27473"
"ARUNACHAL PRADESH","12","CHANGLANG","229","ARUNACHAL PRADESH, CHANGLANG","ARUNACHAL PRADESH, CHANGLANG","x12229"
"WEST BENGAL","19","DAKSHIN DINAJPUR","310","WEST BENGAL, DAKSHIN DINAJPUR","WEST BENGAL, DAKSHIN DINAJPUR","x19310"
"BIHAR","10","DARBHANGA","195","BIHAR, DARBHANGA","BIHAR, DARBHANGA","x10195"
"WEST BENGAL","19","DARJILING","309","WEST BENGAL, DARJILING","WEST BENGAL, DARJILING","x19309"
"MAHARASHTRA","27","DHULE","474","MAHARASHTRA, DHULE","MAHARASHTRA, DHULE","x27474"
"ARUNACHAL PRADESH","12","DIBANG VALLEY","230","ARUNACHAL PRADESH, DIBANG VALLEY","ARUNACHAL PRADESH, DIBANG VALLEY","x12230"
"NAGALAND","13","PAREN","613","NAGALAND, PAREN","NAGALAND, PAREN","x13613"
"ARUNACHAL PRADESH","12","EAST KAMENG","231","ARUNACHAL PRADESH, EAST KAMENG","ARUNACHAL PRADESH, EAST KAMENG","x12231"
"WEST BENGAL","19","PURBA MEDINIPUR","317","WEST BENGAL, PURBA MEDINIPUR","WEST BENGAL, PURBA MEDINIPUR","x19317"
"HARYANA","06","FARIDABAD","060","HARYANA, FARIDABAD","HARYANA, FARIDABAD","x06060"
"PUNJAB","03","FARIDKOT","029","PUNJAB, FARIDKOT","PUNJAB, FARIDKOT","x03029"
"HARYANA","06","FATEHABAD","061","HARYANA, FATEHABAD","HARYANA, FATEHABAD","x06061"
"PUNJAB","03","FATEHGARH SAHIB","030","PUNJAB, FATEHGARH SAHIB","PUNJAB, FATEHGARH SAHIB","x03030"
"PUNJAB","03","FAZILKA","651","PUNJAB, FAZILKA","PUNJAB, FAZILKA","x03651"
"PUNJAB","03","FIROZPUR","031","PUNJAB, FIROZPUR","PUNJAB, FIROZPUR","x03031"
"MAHARASHTRA","27","GADCHIROLI","475","MAHARASHTRA, GADCHIROLI","MAHARASHTRA, GADCHIROLI","x27475"
"BIHAR","10","GAYA","196","BIHAR, GAYA","BIHAR, GAYA","x10196"
"MAHARASHTRA","27","GONDIA","476","MAHARASHTRA, GONDIA","MAHARASHTRA, GONDIA","x27476"
"BIHAR","10","GOPALGANJ","197","BIHAR, GOPALGANJ","BIHAR, GOPALGANJ","x10197"
"PUNJAB","03","GURDASPUR","032","PUNJAB, GURDASPUR","PUNJAB, GURDASPUR","x03032"
"HARYANA","06","GURUGRAM","062","HARYANA, GURUGRAM","HARYANA, GURUGRAM","x06062"
"WEST BENGAL","19","HAORA","313","WEST BENGAL, HAORA","WEST BENGAL, HAORA","x19313"
"MAHARASHTRA","27","HINGOLI","477","MAHARASHTRA, HINGOLI","MAHARASHTRA, HINGOLI","x27477"
"HARYANA","06","HISAR","063","HARYANA, HISAR","HARYANA, HISAR","x06063"
"PUNJAB","03","HOSHIARPUR","033","PUNJAB, HOSHIARPUR","PUNJAB, HOSHIARPUR","x03033"
"WEST BENGAL","19","HUGLI","312","WEST BENGAL, HUGLI","WEST BENGAL, HUGLI","x19312"
"TELANGANA","36","HYDERABAD","507","TELANGANA, HYDERABAD","TELANGANA, HYDERABAD","x36507"
"BIHAR","10","JAHANABAD","199","BIHAR, JAHANABAD","BIHAR, JAHANABAD","x10199"
"PUNJAB","03","JALANDHAR","034","PUNJAB, JALANDHAR","PUNJAB, JALANDHAR","x03034"
"MAHARASHTRA","27","JALGAON","478","MAHARASHTRA, JALGAON","MAHARASHTRA, JALGAON","x27478"
"MAHARASHTRA","27","JALNA","479","MAHARASHTRA, JALNA","MAHARASHTRA, JALNA","x27479"
"WEST BENGAL","19","JALPAIGURI","314","WEST BENGAL, JALPAIGURI","WEST BENGAL, JALPAIGURI","x19314"
"BIHAR","10","JAMUI","198","BIHAR, JAMUI","BIHAR, JAMUI","x10198"
"HARYANA","06","JHAJJAR","064","HARYANA, JHAJJAR","HARYANA, JHAJJAR","x06064"
"HARYANA","06","JIND","065","HARYANA, JIND","HARYANA, JIND","x06065"
"HARYANA","06","KAITHAL","066","HARYANA, KAITHAL","HARYANA, KAITHAL","x06066"
"PUNJAB","03","KAPURTHALA","035","PUNJAB, KAPURTHALA","PUNJAB, KAPURTHALA","x03035"
"TELANGANA","36","KARIMNAGAR","508","TELANGANA, KARIMNAGAR","TELANGANA, KARIMNAGAR","x36508"
"HARYANA","06","KARNAL","067","HARYANA, KARNAL","HARYANA, KARNAL","x06067"
"BIHAR","10","KATIHAR","201","BIHAR, KATIHAR","BIHAR, KATIHAR","x10201"
"BIHAR","10","KHAGARIA","202","BIHAR, KHAGARIA","BIHAR, KHAGARIA","x10202"
"TELANGANA","36","BHADRADRI KOTHAGUDEM","690","TELANGANA, BHADRADRI KOTHAGUDEM","TELANGANA, BHADRADRI KOTHAGUDEM","x36690"
"HIMACHAL PRADESH","02","KINNAUR","019","HIMACHAL PRADESH, KINNAUR","HIMACHAL PRADESH, KINNAUR","x02019"
"MANIPUR","14","UKHRUL","260","MANIPUR, UKHRUL","MANIPUR, UKHRUL","x14260"
"NAGALAND","13","PHEK","248","NAGALAND, PHEK","NAGALAND, PHEK","x13248"
"BIHAR","10","KISHANGANJ","203","BIHAR, KISHANGANJ","BIHAR, KISHANGANJ","x10203"
"WEST BENGAL","19","KOCH BIHAR","308","WEST BENGAL, KOCH BIHAR","WEST BENGAL, KOCH BIHAR","x19308"
"MAHARASHTRA","27","KOLHAPUR","480","MAHARASHTRA, KOLHAPUR","MAHARASHTRA, KOLHAPUR","x27480"
"WEST BENGAL","19","KOLKATA","315","WEST BENGAL, KOLKATA","WEST BENGAL, KOLKATA","x19315"
"HARYANA","06","KURUKSHETRA","068","HARYANA, KURUKSHETRA","HARYANA, KURUKSHETRA","x06068"
"ARUNACHAL PRADESH","12","KURUNG KUMEY","233","ARUNACHAL PRADESH, KURUNG KUMEY","ARUNACHAL PRADESH, KURUNG KUMEY","x12233"
"HIMACHAL PRADESH","02","LAHUL & SPITI","021","HIMACHAL PRADESH, LAHUL & SPITI","HIMACHAL PRADESH, LAHUL & SPITI","x02021"
"BIHAR","10","LAKHISARAI","204","BIHAR, LAKHISARAI","BIHAR, LAKHISARAI","x10204"
"MAHARASHTRA","27","LATUR","481","MAHARASHTRA, LATUR","MAHARASHTRA, LATUR","x27481"
"ARUNACHAL PRADESH","12","LOHIT","234","ARUNACHAL PRADESH, LOHIT","ARUNACHAL PRADESH, LOHIT","x12234"
"ARUNACHAL PRADESH","12","LOWER DIBANG VALLEY","235","ARUNACHAL PRADESH, LOWER DIBANG VALLEY","ARUNACHAL PRADESH, LOWER DIBANG VALLEY","x12235"
"PUNJAB","03","LUDHIANA","036","PUNJAB, LUDHIANA","PUNJAB, LUDHIANA","x03036"
"BIHAR","10","MADHEPURA","205","BIHAR, MADHEPURA","BIHAR, MADHEPURA","x10205"
"BIHAR","10","MADHUBANI","206","BIHAR, MADHUBANI","BIHAR, MADHUBANI","x10206"
"TELANGANA","36","MAHABUBNAGAR","512","TELANGANA, MAHABUBNAGAR","TELANGANA, MAHABUBNAGAR","x36512"
"UTTAR PRADESH","09","MAHARAJGANJ","164","UTTAR PRADESH, MAHARAJGANJ","UTTAR PRADESH, MAHARAJGANJ","x09164"
"HARYANA","06","MAHENDRAGARH","069","HARYANA, MAHENDRAGARH","HARYANA, MAHENDRAGARH","x06069"
"WEST BENGAL","19","MALDAH","316","WEST BENGAL, MALDAH","WEST BENGAL, MALDAH","x19316"
"PUNJAB","03","MANSA","037","PUNJAB, MANSA","PUNJAB, MANSA","x03037"
"TELANGANA","36","SIDDIPET","692","TELANGANA, SIDDIPET","TELANGANA, SIDDIPET","x36692"
"HARYANA","06","MEWAT","604","HARYANA, MEWAT","HARYANA, MEWAT","x06604"
"PUNJAB","03","MOGA","038","PUNJAB, MOGA","PUNJAB, MOGA","x03038"
"NAGALAND","13","WOKHA","250","NAGALAND, WOKHA","NAGALAND, WOKHA","x13250"
"PUNJAB","03","SRI MUKTSAR SAHIB","039","PUNJAB, SRI MUKTSAR SAHIB","PUNJAB, SRI MUKTSAR SAHIB","x03039"
"MAHARASHTRA","27","MUMBAI CITY","482","MAHARASHTRA, MUMBAI CITY","MAHARASHTRA, MUMBAI CITY","x27482"
"BIHAR","10","MUNGER","207","BIHAR, MUNGER","BIHAR, MUNGER","x10207"
"WEST BENGAL","19","MURSHIDABAD","319","WEST BENGAL, MURSHIDABAD","WEST BENGAL, MURSHIDABAD","x19319"
"BIHAR","10","MUZAFFARPUR","208","BIHAR, MUZAFFARPUR","BIHAR, MUZAFFARPUR","x10208"
"WEST BENGAL","19","NADIA","320","WEST BENGAL, NADIA","WEST BENGAL, NADIA","x19320"
"MAHARASHTRA","27","NAGPUR","484","MAHARASHTRA, NAGPUR","MAHARASHTRA, NAGPUR","x27484"
"BIHAR","10","NALANDA","209","BIHAR, NALANDA","BIHAR, NALANDA","x10209"
"TELANGANA","36","NALGONDA","514","TELANGANA, NALGONDA","TELANGANA, NALGONDA","x36514"
"MAHARASHTRA","27","NANDED","485","MAHARASHTRA, NANDED","MAHARASHTRA, NANDED","x27485"
"MAHARASHTRA","27","NANDURBAR","486","MAHARASHTRA, NANDURBAR","MAHARASHTRA, NANDURBAR","x27486"
"MAHARASHTRA","27","NASHIK","487","MAHARASHTRA, NASHIK","MAHARASHTRA, NASHIK","x27487"
"BIHAR","10","NAWADA","210","BIHAR, NAWADA","BIHAR, NAWADA","x10210"
"PUNJAB","03","SHAHID BHAGAT SINGH NAGAR","040","PUNJAB, SHAHID BHAGAT SINGH NAGAR","PUNJAB, SHAHID BHAGAT SINGH NAGAR","x03040"
"TELANGANA","36","NIZAMABAD","516","TELANGANA, NIZAMABAD","TELANGANA, NIZAMABAD","x36516"
"WEST BENGAL","19","NORTH TWENTY-FOUR PARGANAS","303","WEST BENGAL, NORTH TWENTY-FOUR PARGANAS","WEST BENGAL, NORTH TWENTY-FOUR PARGANAS","x19303"
"MAHARASHTRA","27","USMANABAD","488","MAHARASHTRA, USMANABAD","MAHARASHTRA, USMANABAD","x27488"
"MAHARASHTRA","27","PALGHAR","665","MAHARASHTRA, PALGHAR","MAHARASHTRA, PALGHAR","x27665"
"HARYANA","06","PALWAL","619","HARYANA, PALWAL","HARYANA, PALWAL","x06619"
"HARYANA","06","PANCHKULA","070","HARYANA, PANCHKULA","HARYANA, PANCHKULA","x06070"
"HARYANA","06","PANIPAT","071","HARYANA, PANIPAT","HARYANA, PANIPAT","x06071"
"ARUNACHAL PRADESH","12","PAPUMPARE","237","ARUNACHAL PRADESH, PAPUMPARE","ARUNACHAL PRADESH, PAPUMPARE","x12237"
"MAHARASHTRA","27","PARBHANI","489","MAHARASHTRA, PARBHANI","MAHARASHTRA, PARBHANI","x27489"
"BIHAR","10","PASHCHIMI CHAMPARAN","211","BIHAR, PASHCHIMI CHAMPARAN","BIHAR, PASHCHIMI CHAMPARAN","x10211"
"WEST BENGAL","19","PASCHIM MEDINIPUR","318","WEST BENGAL, PASCHIM MEDINIPUR","WEST BENGAL, PASCHIM MEDINIPUR","x19318"
"PUNJAB","03","PATHANKOT","662","PUNJAB, PATHANKOT","PUNJAB, PATHANKOT","x03662"
"PUNJAB","03","PATIALA","041","PUNJAB, PATIALA","PUNJAB, PATIALA","x03041"
"BIHAR","10","PATNA","212","BIHAR, PATNA","BIHAR, PATNA","x10212"
"UTTARAKHAND","05","PITHORAGARH","053","UTTARAKHAND, PITHORAGARH","UTTARAKHAND, PITHORAGARH","x05053"
"MAHARASHTRA","27","PUNE","490","MAHARASHTRA, PUNE","MAHARASHTRA, PUNE","x27490"
"BIHAR","10","PURBI CHAMPARAN","213","BIHAR, PURBI CHAMPARAN","BIHAR, PURBI CHAMPARAN","x10213"
"BIHAR","10","PURNIA","214","BIHAR, PURNIA","BIHAR, PURNIA","x10214"
"WEST BENGAL","19","PURULIYA","321","WEST BENGAL, PURULIYA","WEST BENGAL, PURULIYA","x19321"
