system:index,GEOID,GeoName,Shape_Area,Shape_Leng,di_code,dist23,st_code,st_di23,state23,sum,.geo
000000000000000001d2,x10195,"BIHAR, DARBHANGA",2.4236113475E9,475578.743869,195,DARBHANGA,10,"BIHAR, DARBHANGA",BIHAR,9246242.2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e0,x10196,"BIHAR, GAYA",4.77763530079E9,620896.445152,196,GAYA,10,"BIHAR, GAYA",BIHAR,5034497.341176467,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e2,x10197,"BIHAR, GOPALGANJ",1.96151711242E9,347790.472493,197,GOPALGANJ,10,"BIHAR, GOPALGANJ",BIHAR,1.9464803631372556E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001eb,x10199,"BIHAR, JAHANABAD",9.01901119093E8,224922.658499,199,JAHANABAD,10,"BIHAR, JAHANABAD",BIHAR,2387163.8784313747,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f0,x10198,"BIHAR, JAMUI",2.98227147905E9,405324.44672,198,JAMUI,10,"BIHAR, JAMUI",BIHAR,1071701.0784313728,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f7,x10201,"BIHAR, KATIHAR",2.92881093866E9,478940.316666,201,KATIHAR,10,"BIHAR, KATIHAR",BIHAR,5.531490852549018E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f8,x10202,"BIHAR, KHAGARIA",1.43597267236E9,296638.070544,202,KHAGARIA,10,"BIHAR, KHAGARIA",BIHAR,7.915275660784315E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001fd,x10203,"BIHAR, KISHANGANJ",1.85776105902E9,397841.355582,203,KISHANGANJ,10,"BIHAR, KISHANGANJ",BIHAR,3408649.109803928,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000204,x10204,"BIHAR, LAKHISARAI",1.17413750156E9,227780.124272,204,LAKHISARAI,10,"BIHAR, LAKHISARAI",BIHAR,1.4732011705882365E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000209,x10205,"BIHAR, MADHEPURA",1.73973036165E9,348104.047254,205,MADHEPURA,10,"BIHAR, MADHEPURA",BIHAR,9654696.501960786,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000020a,x10206,"BIHAR, MADHUBANI",3.37229559454E9,479370.374181,206,MADHUBANI,10,"BIHAR, MADHUBANI",BIHAR,8524773.533333339,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000216,x10207,"BIHAR, MUNGER",1.35771339056E9,268751.408351,207,MUNGER,10,"BIHAR, MUNGER",BIHAR,5.1800227381960773E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000218,x10208,"BIHAR, MUZAFFARPUR",3.06065783691E9,427403.514512,208,MUZAFFARPUR,10,"BIHAR, MUZAFFARPUR",BIHAR,2.226934160392152E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000021b,x10209,"BIHAR, NALANDA",2.27818802164E9,407293.6663,209,NALANDA,10,"BIHAR, NALANDA",BIHAR,3032785.0039215735,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000220,x10210,"BIHAR, NAWADA",2.39613834045E9,381420.360691,210,NAWADA,10,"BIHAR, NAWADA",BIHAR,1853404.8078431385,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000022b,x10211,"BIHAR, PASHCHIMI CHAMPARAN",5.04294813683E9,489853.432319,211,PASHCHIMI CHAMPARAN,10,"BIHAR, PASHCHIMI CHAMPARAN",BIHAR,3.6256420556862764E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000022f,x10212,"BIHAR, PATNA",3.07391563324E9,567476.304231,212,PATNA,10,"BIHAR, PATNA",BIHAR,3.291188860666665E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000232,x10213,"BIHAR, PURBI CHAMPARAN",3.82705223114E9,479736.562606,213,PURBI CHAMPARAN,10,"BIHAR, PURBI CHAMPARAN",BIHAR,2.37678366431373E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000233,x10214,"BIHAR, PURNIA",3.10804553837E9,463494.154554,214,PURNIA,10,"BIHAR, PURNIA",BIHAR,1.012141947843137E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000023a,x10215,"BIHAR, ROHTAS",3.69948457093E9,408552.312694,215,ROHTAS,10,"BIHAR, ROHTAS",BIHAR,5.169212892941183E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000023c,x10216,"BIHAR, SAHARSA",1.60564405247E9,307404.102257,216,SAHARSA,10,"BIHAR, SAHARSA",BIHAR,4.541732661568628E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000023d,x10217,"BIHAR, SAMASTIPUR",2.5732751108E9,463099.315303,217,SAMASTIPUR,10,"BIHAR, SAMASTIPUR",BIHAR,1.701924077372549E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000240,x10218,"BIHAR, SARAN",2.54212319952E9,322369.317165,218,SARAN,10,"BIHAR, SARAN",BIHAR,5.653166573686272E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000244,x10219,"BIHAR, SHEIKHPURA",6.52669229119E8,225076.137922,219,SHEIKHPURA,10,"BIHAR, SHEIKHPURA",BIHAR,1913870.62745098,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000245,x10220,"BIHAR, SHEOHAR",4.28234734133E8,172353.880338,220,SHEOHAR,10,"BIHAR, SHEOHAR",BIHAR,1447345.9960784316,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000248,x10221,"BIHAR, SITAMARHI",2.1095567062E9,381932.319218,221,SITAMARHI,10,"BIHAR, SITAMARHI",BIHAR,2929370.160784317,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000249,x10222,"BIHAR, SIWAN",2.13775467717E9,311945.385384,222,SIWAN,10,"BIHAR, SIWAN",BIHAR,2.758408239607843E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000024e,x10223,"BIHAR, SUPAUL",2.33173930496E9,373518.129118,223,SUPAUL,10,"BIHAR, SUPAUL",BIHAR,3.2017892098039232E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000025a,x10224,"BIHAR, VAISHALI",1.96103061486E9,264300.277306,224,VAISHALI,10,"BIHAR, VAISHALI",BIHAR,3.5461768429019636E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054,x04044,"CHANDIGARH, CHANDIGARH",1.11867387146E8,62113.0763786,044,CHANDIGARH,04,"CHANDIGARH, CHANDIGARH",CHANDIGARH,17717.439215686274,"{""type"":""MultiPoint"",""coordinates"":[]}"
