"GeoName","GeoID","state","zone","n","cellpred_n","pred_prop","pred_per","national_per","pred_per_diff"
"Uttar Pradesh, Auraiya","09162","Uttar Pradesh","Central",808679,495847.364270905,0.613157215991642,61.3157215991642,57.0357133022312,4.28000829693297
"Uttar Pradesh, Kanpur Dehat","09163","Uttar Pradesh","Central",1068279,789524.903524291,0.739062457957417,73.9062457957417,57.0357133022312,16.8705324935105
"Uttar Pradesh, Kanpur","09164","Uttar Pradesh","Central",3007684,1701777.48090463,0.5658099324612,56.58099324612,57.0357133022312,-0.454720056111249
"Uttar Pradesh, Jalaun","09165","Uttar Pradesh","Central",1042205,749371.244075479,0.719024802294634,71.9024802294634,57.0357133022312,14.8667669272322
"Uttar Pradesh, Jhansi","09166","Uttar Pradesh","Central",1267188,839861.544938907,0.662775803542101,66.2775803542101,57.0357133022312,9.24186705197886
"Uttar Pradesh, Lalitpur","09167","Uttar Pradesh","Central",682813,485129.151746974,0.710486109296357,71.0486109296357,57.0357133022312,14.0128976274045
"Uttar Pradesh, Hamirpur","09168","Uttar Pradesh","Central",659547,337411.042445853,0.511579982087483,51.1579982087483,57.0357133022312,-5.87771509348286
"Uttar Pradesh, Mahoba","09169","Uttar Pradesh","Central",507141,361222.210110468,0.7122717550158,71.22717550158,57.0357133022312,14.1914621993488
"Uttar Pradesh, Banda","09170","Uttar Pradesh","Central",1012375,567833.904326836,0.560892855243201,56.0892855243201,57.0357133022312,-0.946427777911104
"Uttar Pradesh, Chitrakoot","09171","Uttar Pradesh","Central",534728,297348.944532352,0.556075134521387,55.6075134521387,57.0357133022312,-1.42819985009248
"Uttar Pradesh, Fatehpur","09172","Uttar Pradesh","Central",1512874,829386.129432387,0.548218906156354,54.8218906156354,57.0357133022312,-2.21382268659583
"Uttar Pradesh, Pratapgarh","09173","Uttar Pradesh","Central",1824585,1253414.6905585,0.686958782714151,68.6958782714151,57.0357133022312,11.6601649691839
"Uttar Pradesh, Kaushambi","09174","Uttar Pradesh","Central",845388,465073.044216792,0.550129696916437,55.0129696916437,57.0357133022312,-2.02274361058754
"Uttar Pradesh, Prayagraj","09175","Uttar Pradesh","Central",3414205,1834501.13675892,0.537314290371819,53.7314290371819,57.0357133022312,-3.3042842650493
"Uttar Pradesh, Barabanki","09176","Uttar Pradesh","Central",1789074,1002959.07769874,0.560602343837505,56.0602343837505,57.0357133022312,-0.975478918480711
"Uttar Pradesh, Ayodhya","09177","Uttar Pradesh","Central",1409104,1019695.12364218,0.723647880952846,72.3647880952846,57.0357133022312,15.3290747930534
"Uttar Pradesh, Ambedkarnagar","09178","Uttar Pradesh","Central",1366519,1025780.67693006,0.750652334091262,75.0652334091262,57.0357133022312,18.029520106895
"Uttar Pradesh, Sultanpur","09179","Uttar Pradesh","Central",4313750,2559983.65358941,0.593447384199227,59.3447384199227,57.0357133022312,2.30902511769147
"Uttar Pradesh, Amethi","09179","Uttar Pradesh","Central",4313750,2559983.65358941,0.593447384199227,59.3447384199227,57.0357133022312,2.30902511769147
"Uttar Pradesh, Bahraich","09180","Uttar Pradesh","Central",1862943,1531372.79572045,0.822018062667754,82.2018062667754,57.0357133022312,25.1660929645442
"Uttar Pradesh, Shrawasti","09181","Uttar Pradesh","Central",603764,522972.821707289,0.866187486679048,86.6187486679048,57.0357133022312,29.5830353656736
"Uttar Pradesh, Balrampur","09182","Uttar Pradesh","Central",1131773,964409.371224924,0.85212261754338,85.212261754338,57.0357133022312,28.1765484521068
"Uttar Pradesh, Gonda","09183","Uttar Pradesh","Central",1880928,1295321.21072727,0.688660709355846,68.8660709355846,57.0357133022312,11.8303576333534
"Uttar Pradesh, Siddharthnagar","09184","Uttar Pradesh","Central",1335602,875753.77766751,0.655699660278668,65.5699660278668,57.0357133022312,8.53425272563563
"Uttar Pradesh, Basti","09185","Uttar Pradesh","Central",1364083,911975.601686934,0.668563131192848,66.8563131192848,57.0357133022312,9.82059981705361
"Uttar Pradesh, Santkabirnagar","09186","Uttar Pradesh","Central",933906,646022.076162125,0.691742076999318,69.1742076999318,57.0357133022312,12.1384943977006
