DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2024-0518-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,USA,United States of America,Northern America,Americas,"Ontario, Montana, South Dakota, Minnesota, Wisconsin, Illinois, Missouri, Ohio, Mississippi, New York, New Jersey, Pennsylvania, Arkansas, llinois, Indiana,",,Flood,No,No,Yes,,,Kph,,,,2024,7,13,2024,7,17,2,,,,,,,,,2400000,2400000,100,,2024-07-23,2025-01-22
2024-0522-CHN,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2024-000127,Typhoon 'Gaemi' (Carina) and 'Butchoy' (Prapiroon),CHN,China,Eastern Asia,Asia,,,,No,No,No,,,Kph,,,,2024,7,24,2024,7,25,129,,,,,,,,,4120000,4120000,100,,2025-03-05,2025-04-14
2024-0522-PHL,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2024-000127,Typhoon 'Gaemi' (Carina) and 'Butchoy' (Prapiroon),PHL,Philippines,South-eastern Asia,Asia,"Metro Manilla, Batangas, Cavite, Pampanga and Bulacan provinces; Regions NCR, I, II, III, CALABARZON, MIMAROPA, V, VI, VII, X, and CAR",,"Flood|Slide (land, mud, snow, rock)",No,No,No,,,Kph,,,,2024,7,22,2024,7,23,53,16,6498918,,6498934,,,,,211000,211000,100,,2024-07-25,2025-04-14
2024-0522-TWN,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2024-000127,Typhoon 'Gaemi' (Carina) and 'Butchoy' (Prapiroon),TWN,Taiwan (Province of China),Eastern Asia,Asia,,,Flood,No,No,No,,190,Kph,,,,2024,7,24,2024,7,25,12,902,,,902,,,,,245000,245000,100,,2024-07-25,2025-04-14
2024-0524-CAN,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,Jasper Complex Fire,CAN,Canada,Northern America,Americas,National park Jasper (Alberta province); Colombie-Britannique,"Warm temperatures, dry conditions, and strong winds, lightenings",,No,No,Yes,,,Km2,,,,2024,7,22,2024,8,7,1,,,,,,,800000,800000,1000000,1000000,100,,2024-07-25,2025-01-09
2024-0531-MAR,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,MAR,Morocco,Northern Africa,Africa,,,Drought,No,No,No,,48,°C,,,,2024,7,22,2024,7,24,21,,,,,,,,,,,100,,2024-07-25,2025-01-22
2024-0537-JPN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,JPN,Japan,Eastern Asia,Asia,"Yamagata, Shiga, Akita prefectures (Honshu Isl.)",Warm and humid air mass along a frontal boundary,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2024,7,25,2024,7,25,6,2,11,,13,,,,,800000,800000,100,,2024-07-26,2025-02-21
2024-0542-CHN,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,CHN,China,Eastern Asia,Asia,Hunan province,Heavy rains,,No,No,No,,,,,,,2024,7,28,2024,7,28,15,6,,,6,,,,,,,100,,2024-07-29,2024-08-05
2024-0544-SDN,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,GLIDE:FL-2024-000128,,SDN,Sudan,Northern Africa,Africa,"Kassala, Aj Jazirah, East Darfur, Central Darfur, North Darfur, Khartoum, North Kordofan, Northern, Red Sea, River Nile, West Darfur, and White Nile states",Heavy rain,Broken Dam/Burst bank,No,No,No,,,Km2,,,Gash River,2024,6,1,2024,8,27,132,107,317000,,317107,,,,,,,100,,2024-07-29,2024-08-27
2024-0547-IND,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,IND,India,Southern Asia,Asia,"Mundakkai, Chooralmala, Attamala, and Noolpuzha villages (Wayanad district, Kerala state)",Monsoon rain,,No,No,No,,,,,,,2024,7,30,2024,7,30,378,91,,3000,3091,,,,,140000,140000,100,,2024-07-31,2025-02-06
