state_district_census11_code,state,district,perceived,imd_flood_count,assessed,gap,FlowAcc_sum,mean_monthly_avg_rd_MD,precip_sum_mm,mean_tmax,highersecondaryabove_district,vulnerability_district,Tone_Avg,flood_news_count,fear_share,ntl_mean,population
9136,Uttar Pradesh,Rampur,70.7660071345397,31.0,49.20634920634921,-21.559657928190497,6849935.258823523,1.931125553,259.2522888,29.20422918,-0.9435298463269256,-0.0352889531128856,-4.186318073769231,13.0,0.2306186074615384,1.888293687074188,1240219.0
9137,Uttar Pradesh,Jyotiba Phule Nagar,65.5055798835784,27.0,42.857142857142854,-22.648437026435552,16862005.415686283,2.013900124,127.5559616,29.5133445,,,-1.4343619565,2.0,0.203886693,1.963152029063084,997825.0
9138,Uttar Pradesh,Meerut,66.2095897708012,27.0,42.857142857142854,-23.352446913658348,12991336.909803908,3.33391994,215.399231,29.56654527,0.7412312130512418,-0.8161955988788456,,,,3.313201273511041,2018230.0
9139,Uttar Pradesh,Baghpat,65.3054118163498,41.0,65.07936507936508,-0.22604673698472766,6710762.647058819,2.534290331,83.26100159,29.77666219,0.3281914849320458,-0.8161955988788456,,,,2.535723666640921,757557.0
9140,Uttar Pradesh,Ghaziabad,70.4584282053637,28.5,45.23809523809524,-25.22033296726846,2944927.470588233,7.7804634515,39.73471832,29.868220739999998,1.302618891635136,0.7343395036035506,-4.1311076785,8.0,0.185558323,7.75722365217718,5530948.0
9141,Uttar Pradesh,Gautam Buddha Nagar,65.7953673486441,31.0,49.20634920634921,-16.589018142294897,12611471.478431374,13.33585541,40.33457947,30.32700263,,,,,,13.269873638955412,973678.0
9142,Uttar Pradesh,Bulandshahr,64.4854964985047,33.0,52.38095238095238,-12.104544117552322,18517618.5137255,2.248626219,252.4562073,29.99511283,-0.0976435730164936,0.7356060689894082,,,,2.198385465798483,1984591.0
9143,Uttar Pradesh,Aligarh,60.6158980000423,32.0,50.79365079365079,-9.82224720639151,17113683.619607847,2.152397395,284.1051636,30.4400613,0.1018445075418886,-0.3648377522822807,-3.364856315,2.0,0.1718373495,2.139074447071828,2055625.0
9144,Uttar Pradesh,Mahamaya Nagar,66.3954666039414,35.0,55.55555555555556,-10.839911048385844,1683228.196078431,1.667917095,41.74662399,30.65691461,,,,,,1.6305604803983187,881098.0
9145,Uttar Pradesh,Mathura,65.7921185040814,30.0,47.61904761904762,-18.17307088503378,73736408.06666668,2.598001092,215.8872986,30.77836609,0.2560600120507379,-0.0840956184732581,,,,2.5955804995127845,1379866.0
9146,Uttar Pradesh,Agra,73.1492920887541,8.0,12.698412698412698,-60.4508793903414,169736280.65882343,2.711560973,130.1307373,30.88600328,0.4055308852094046,1.332030234806593,,,,2.685020437015468,2520446.0
9147,Uttar Pradesh,Firozabad,69.5343003372061,39.0,61.904761904761905,-7.6295384324442,43840718.07450981,1.943293862,167.8214111,30.70720757,0.0988748020038247,-0.8161955988788456,,,,1.9208720228886544,1386584.0
9148,Uttar Pradesh,Mainpuri,71.54327076458,27.0,42.857142857142854,-28.686127907437147,5053881.976470584,1.39894051,201.4074402,30.60241699,0.1541247162613933,0.2512458091636084,,,,1.3860784373395494,1052033.0
9149,Uttar Pradesh,Budaun,72.092131914287,31.0,49.20634920634921,-22.885782707937786,28827079.125490192,1.153957819,314.947113,29.97086589,-1.217239273204954,-0.6992324359734234,,,,1.152965953319808,1874734.0
9150,Uttar Pradesh,Bareilly,71.7887432481133,47.0,74.60317460317461,2.814431355061302,19465596.02745099,2.092630347,343.5848389,29.636043,-0.5223469743924294,-0.8161955988788456,-7.1889919195,6.0,0.3098817078333333,2.055785739492064,2385336.0
9151,Uttar Pradesh,Pilibhit,72.0344705680375,33.0,52.38095238095238,-19.653518187085126,12529640.317647057,1.08366674,286.6461182,29.53445638,-0.9131972723480046,1.5842074943847044,-2.877697842,1.0,0.272727273,1.0705690178806162,1133818.0
9152,Uttar Pradesh,Shahjahanpur,74.508953064048,29.0,46.03174603174603,-28.47720703230197,22308029.250980355,1.400459624,391.5592651,30.07273211,-0.8787965647277978,-0.7093435372355773,,,,1.3840307143451067,1619040.0
9153,Uttar Pradesh,Kheri,74.7749629449365,30.0,47.61904761904762,-27.155915325888884,67239837.73333336,1.027166465,628.7894287,29.76912435,-1.0786889481554296,-0.0870347919506231,,,,1.024956269819404,2195831.0
9154,Uttar Pradesh,Sitapur,69.2103750895972,26.0,41.26984126984127,-27.940533819755935,20857146.12549024,1.243416455,481.4567261,30.3171285,-1.0522494541894885,-0.6687248738821265,-4.761904762,1.0,0.222222222,1.2378806064987402,2458382.0
9155,Uttar Pradesh,Hardoi,70.2342295547247,40.0,63.492063492063494,-6.742166062661212,51482456.95686275,1.178196623,381.3977966,30.43454933,-0.8736353495903573,1.2178733064464973,,,,1.160142304636013,2264800.0
9156,Uttar Pradesh,Unnao,75.1264576947912,30.0,47.61904761904762,-27.50741007574358,67587426.87450969,1.476317212,286.8171997,30.93139648,-0.6643390765071905,0.1349086491694389,-3.181818182,1.0,0.066666667,1.4561139905587717,1781629.0
9157,Uttar Pradesh,Lucknow,61.2748860067967,26.0,41.26984126984127,-20.005044736955426,7199712.125490204,7.663393118,177.5874023,30.71533481,2.0,-0.8161955988788456,-4.2334609620000005,10.0,0.1996102993,7.306429072839912,2899844.0
9158,Uttar Pradesh,Rae Bareli,75.7322364616102,32.0,50.79365079365079,-24.93858566795941,58118236.34117647,1.600787493,261.6134644,31.12019602,,,,,,1.5582076731841172,1977407.0
9159,Uttar Pradesh,Farrukhabad,69.1846995211157,47.0,74.60317460317461,5.4184750820589045,37648923.36078437,1.42155315,82.16404724,30.40332336,-0.1791476777440735,0.0260866528252415,,,,1.4046382185536237,1057704.0
9160,Uttar Pradesh,Kannauj,58.3993767055265,27.0,42.857142857142854,-15.542233848383646,13554485.19215685,1.863929537,140.3505707,30.72973328,-0.0513412065709407,-0.8161955988788456,-2.040816327,1.0,0.222222222,1.8513269176296876,931018.0
9161,Uttar Pradesh,Etawah,65.7143515599776,36.0,57.142857142857146,-8.571494417120455,173144078.50196078,1.724879968,127.7123795,30.80381775,0.4296583021711406,0.4642383749479311,,,,1.7055766743628962,935709.0
9162,Uttar Pradesh,Auraiya,66.6084647313728,30.0,47.61904761904762,-18.989417112325185,49162751.82352942,2.118351962,90.41177368,30.89777527,0.5319403317074991,1.1423750568883917,,,,2.141496208906253,808679.0
9163,Uttar Pradesh,Kanpur Dehat,65.3007159748258,33.0,52.38095238095238,-12.919763593873427,153703963.70196083,1.540753941,238.1546021,31.21541341,0.1811898010729424,-0.1272809909156674,,,,1.523839522256299,1068279.0
9164,Uttar Pradesh,Kanpur Nagar,65.1765950108611,31.0,49.20634920634921,-15.970245804511897,152908702.05882356,3.78012063,192.1604767,31.15728205,,,-3.426990456,4.0,0.204428995,3.7679043003191386,3007684.0
9165,Uttar Pradesh,Jalaun,76.254382942328,40.0,63.492063492063494,-12.7623194502645,159298521.01568654,1.06018366,301.6520996,31.47033691,0.2719853621293521,1.5703590150004916,,,,1.0578126887961066,1042205.0
9166,Uttar Pradesh,Jhansi,65.0698796355966,42.0,66.66666666666667,1.5967870310700647,29474579.121568635,1.517014235,408.0405273,31.41663513,0.2519747624863098,0.8054068805728827,5.0493127265,2.0,0.0235849055,1.4611142529920915,1267188.0
9167,Uttar Pradesh,Lalitpur,62.075510129576,30.0,47.61904761904762,-14.456462510528382,16222771.290196097,0.765623179,484.972168,30.69739151,-1.1208780755536094,-0.8161955988788456,,,,0.7246884400701248,682813.0
9168,Uttar Pradesh,Hamirpur,64.9147763120953,49.0,77.77777777777777,12.863001465682473,113337345.36078437,0.907021473,335.6888123,31.73964844,-0.3850947392758103,-0.8161955988788456,-5.16568867175,4.0,0.21653225825,0.9046036851789132,659547.0
